term,italian,example
beat consensus,battere il consenso,"Q3 EPS beat consensus by 8%."
miss expectations,mancare le aspettative,"Revenue missed expectations by 3%."
top-line growth,crescita del fatturato,"Top-line growth accelerated to 12% YoY."
multiple compression,compressione dei multipli,"We see further multiple compression amid rising rates."
re-rating,rivalutazione,"A successful turnaround could trigger a re-rating."
priced in,già scontato,"The slowdown is largely priced in."
accretive,accretivo,"The deal is accretive to EPS in year one."
synergies,sinergie,"Run-rate synergies of EUR 200m by year 3."
deleverage,ridurre il debito,"The company is on track to deleverage to <2x by 2025."
headwinds,venti contrari,"FX headwinds shaved 200bps off growth."
tailwinds,venti favorevoli,"Pricing tailwinds drove margin expansion."
in our view,a nostro avviso,"In our view consensus is too cautious."
is set to,è destinato a,"EBITDA is set to recover in H2."
on the back of,sulla scia di,"Shares rallied on the back of strong guidance."
move the needle,fare la differenza,"A EUR 50m deal won't move the needle."
low-hanging fruit,opportunità facili,"Cost-out programmes have already harvested the low-hanging fruit."
kitchen-sinking,svalutare tutto in una volta,"New management is kitchen-sinking the numbers."
inflection point,punto di svolta,"We believe Q4 marks an inflection point."
pull forward demand,anticipare la domanda,"The promotion pulled forward demand from Q4."
covenant headroom,margine sui covenant,"Covenant headroom remains thin."
